STARTTIME,STOPTIME,STARTTIME_GMT,STOPTIME_GMT,STARTDATE,MARKET_RUN_ID,RESOURCE_TYPE,SCHEDULINGCOORDINATOR_SEQ,RESOURCEBID_SEQ,TIMEINTERVALSTART,TIMEINTERVALEND,TIMEINTERVALSTART_GMT,TIMEINTERVALEND_GMT,PRODUCTBID_DESC,PRODUCTBID_MRID,MARKETPRODUCT_DESC,MARKETPRODUCTTYPE,SELFSCHEDMW,SCH_BID_TIMEINTERVALSTART,SCH_BID_TIMEINTERVALSTOP,SCH_BID_TIMEINTERVALSTART_GMT,SCH_BID_TIMEINTERVALSTOP_GMT,SCH_BID_XAXISDATA,SCH_BID_Y1AXISDATA,SCH_BID_Y2AXISDATA,SCH_BID_CURVETYPE,MINEOHSTATEOFCHARGE,MAXEOHSTATEOFCHARGE
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T23:00:00,2025-07-02T00:00:00,2025-07-02T06:00:00-00:00,2025-07-02T07:00:00-00:00,,,,EN,1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T00:00:00,2025-07-01T02:00:00,2025-07-01T07:00:00-00:00,2025-07-01T09:00:00-00:00,,,,EN,1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T02:00:00,2025-07-01T05:00:00,2025-07-01T09:00:00-00:00,2025-07-01T12:00:00-00:00,,,,EN,0,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,699539,900130,2025-07-01T05:00:00,2025-07-01T06:00:00,2025-07-01T12:00:00-00:00,2025-07-01T13:00:00-00:00,,,,EN,1,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,LOAD,699539,133909,2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,,,,EN,37.4,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,822669,775002,2025-07-01T06:00:00,2025-07-01T22:00:00,2025-07-01T13:00:00-00:00,2025-07-02T05:00:00-00:00,,,,EN,50,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,822669,380730,2025-07-01T06:00:00,2025-07-01T07:00:00,2025-07-01T13:00:00-00:00,2025-07-01T14:00:00-00:00,,,,EN,845,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,822669,380730,2025-07-01T07:00:00,2025-07-01T08:00:00,2025-07-01T14:00:00-00:00,2025-07-01T15:00:00-00:00,,,,EN,795,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,822669,380730,2025-07-01T08:00:00,2025-07-01T12:00:00,2025-07-01T15:00:00-00:00,2025-07-01T19:00:00-00:00,,,,EN,695,,,,,,,,,,
2025-07-01T00:00:00,2025-07-02T00:00:00,2025-07-01T07:00:00-00:00,2025-07-02T07:00:00-00:00,2025-07-01 00:00:00.0,DAM,INTERTIE,822669,380730,2025-07-01T12:00:00,2025-07-01T13:00:00,2025-07-01T19:00:00-00:00,2025-07-01T20:00:00-00:00,,,,EN,670,,,,,,,,,,
