RESOURCE ID,RESOURCE NAME,RESOURCE PMAX MW,RESOURCEBID_SEQ,seq_max_mw,n_matches,mean_pct_err,score,confidence
TEHAPI_2_PW2WD2,Point Wind 2,14.4,124050,15,2,0.025000000000000022,1.95,Inf
TIFFNY_1_DILLON,TIFFNY_1_DILLON,45,939948,45,4,0.029905573236204068,3.880377707055184,1.3027476002685068
TIGRCK_7_UNITS,TIGER CREEK HYDRO AGGREGATE,62,182859,57.14,2,0.029677419354838707,1.9406451612903226,0.6684444444444444
TOPAZ_2_SOLAR,Topaz Solar Farms,550,111727,510,9,0.015087620704075943,8.864211413663316,1
TOWNSITE_2_MEADDYN,Townsite Solar BESS,180,127137,166,2,0.028958333333333346,1.9420833333333334,Inf
TRNQLT_2_RETBT1,RE Tranquillity BESS,72,116825,70,2,0,2,1.0127314814814816
TRNQLT_2_SOLAR,Tranquillity,200,358008,189,2,0.02054888980830223,1.9589022203833955,Inf
TRNSWD_1_QF,FPL Energy C Wind,38.97,134471,36,2,0.02516217482358782,1.9496756503528243,Inf
TULLCK_7_UNITS,Tullock Hydro,25.9,809558,25.08,4,0.010101010101010246,3.959595959595959,1.3333333333333333
USWNDR_2_SMUD,SOLANO WIND FARM,102.18,837024,100,5,0.034763665548771715,4.8261816722561415,1.2188034992344972
USWNDR_2_SMUD2,Solano Wind Project Phase 3,127.8,264747,140,3,0.010304256810608913,2.9690872295681734,1.0049714266073462
VALTNE_2_TBBBT1,Tropico Solar Big Beau,58,594888,52.3,18,0.012989510489510452,17.766188811188812,1.0013183720765249
VALTNE_2_TRSBT1,Tropico Solar,70,650623,64.8,23,0.012499999999999956,22.712500000000002,1.0031746031746032
VSTAES_6_VESBT1,Vista Energy Storage,40,386425,37.7,7,0.008271718256680674,6.942097972203235,1.0072502230776839
WARNE_2_UNIT,WARNE HYDRO AGGREGATE,76,159511,76,9,0.0087010087010087,8.921690921690923,4.520323400323401
WESCAN_2_BDSBT1,Bateria Del Sur,131,167201,140,7,0.03106974527628946,6.782511783065973,1.396399484748877
WISHON_6_UNITS,Wishon/San Joaquin  #1-A AGGREGATE,18.4,117854,20,3,0.0274940047961631,2.9175179856115108,1.5165856394913984
WOLFSK_1_UNITA1,Wolfskill Energy Center,48.68,111621,47,3,0.0014214641080312923,2.995735607675906,1
YELPIN_2_YP2BT1,Yellow Pine 2 BESS,65,655017,60,4,0.019905881091684688,3.9203764756332613,1.0003014116704223
