"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"CONTRL_1_LUNDY","LUNDY",3,106695,2.91,3,2,2.77555756156289e-16,2,NA
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",11.07,814548,10,1,4,0.00844141656901106,3.96623433372396,0.0332268338608229
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",11.07,442155,10.5,2,4,0.0413877688839454,3.83444892446422,NA
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",11.07,101363,11,3,2,0.00790513833992078,1.98418972332016,NA
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",11.07,569776,12,4,2,0.00844141656901106,1.98311716686198,NA
"CONTRL_1_POOLE","POOLE HYDRO PLANT 1",11.07,135714,10,5,2,0.0118577075098815,1.97628458498024,NA
"CONTRL_1_RUSHCK","RUSH CREEK",11.94,151598,12,1,2,0.0216666666666669,1.95666666666667,0.0110732538330495
"CONTRL_1_RUSHCK","RUSH CREEK",11.94,370894,11.4,2,2,0.0325000000000002,1.935,NA
"COVERD_2_MCKHY1","Montgomery Creek Hydro",2.8,133011,3,1,2,0.0476190476190479,1.9047619047619,1
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",70.4,179949,70,1,8,0.0269886363636364,7.78409090909091,0.243224743673492
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",70.4,234172,74,2,6,0.0181987678339819,5.89080739299611,NA
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",70.4,798391,75,3,5,0.019112258149829,4.90443870925086,NA
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",70.4,895511,74.12,4,4,0.0168733470840243,3.9325066116639,NA
"CRESTA_7_PL1X2","CRESTA PH UNIT 1 & 2 AGGREGATE",70.4,321061,74.66,5,3,0.0260967285638339,2.9217098143085,NA
"CRIMSN_2_CRMBT1","Crimson",200,358008,189,1,13,0.00923076923076923,12.88,0.401123188405797
"CRIMSN_2_CRMBT1","Crimson",200,135142,200,2,8,0.0358083333333333,7.71353333333333,NA
"CRIMSN_2_CRMBT1","Crimson",200,784426,198.99,3,7,0.0224571428571428,6.8428,NA
"CRIMSN_2_CRMBT1","Crimson",200,122732,210,4,5,0.02152,4.8924,NA
"CRIMSN_2_CRMBT1","Crimson",200,196456,203.25,5,5,0.0259483333333333,4.87025833333333,NA
"CRIMSN_2_CRMBT2","Crimson 2",150,589872,141.78,1,3,0.0236,2.9292,0.00535982520824807
"CRIMSN_2_CRMBT2","Crimson 2",150,167201,140,2,3,0.0288333333333333,2.9135,NA
"CRIMSN_2_CRMBT2","Crimson 2",150,309385,150,3,3,0.0302,2.9094,NA
"CRIMSN_2_CRMBT2","Crimson 2",150,670988,150,4,3,0.0359333333333333,2.8922,NA
"CRIMSN_2_CRMBT2","Crimson 2",150,170663,137.06,5,2,0.0294,1.9412,NA
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",50,997249,50.5,1,6,0.0161827956989247,5.90290322580645,0.172774180459846
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",50,148758,50,2,5,0.0233932082732083,4.88303395863396,NA
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",50,973878,50,3,4,0.0371891774891775,3.85124329004329,NA
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",50,628632,50.43,4,3,0.0125840783312048,2.96224776500639,NA
"CRSTWD_6_KUMYAY","Kumeyaay Wind Farm",50,353349,47.98,5,3,0.0156,2.9532,NA
"DEADCK_1_UNIT","DEADCK_1_UNIT",1.96,148199,1.89,1,4,0.0273972602739726,3.89041095890411,0
"DEADCK_1_UNIT","DEADCK_1_UNIT",1.96,265407,1.98,2,4,0.0273972602739726,3.89041095890411,NA
"DEADCK_1_UNIT","DEADCK_1_UNIT",1.96,103773,1.8,3,4,0.0410958904109589,3.83561643835616,NA
