"RESOURCE ID","RESOURCE NAME","total_curtailment_events","RESOURCEBID_SEQ","n_matches","confidence","score"
"GARLND_2_GASLR","Garland B",15,106183,7,0.576962535938809,6.8566500793132
"GARNET_1_SOLAR2","Garnet Solar Power Generation Station 1",1,NA,NA,NA,NA
"GARNET_1_WIND","GARNET WIND ENERGY CENTER",11,155043,2,0.0159753645047763,1.98701298701299
"GARNET_1_WT3WND","Wagner Wind",1,NA,NA,NA,NA
"GARNET_2_COAWD2","Coachella 2",10,442155,5,0.209111290467223,4.91579968259566
"GARNET_2_WIND1","Phoenix",6,186392,2,1,1.96092093899662
"GARNET_2_WIND3","San Gorgonio East",7,858482,4,0.231732776617954,3.86810228802153
"GARNET_2_WIND4","Windustries",12,916013,3,0.0118006264140045,2.94478122283396
"GARNET_2_WIND5","Eastwind",6,127538,2,0.00243902439024402,1.95238095238095
"GASKW1_2_GW1SR1","Gaskell West 1",1,NA,NA,NA,NA
"GASKW1_2_GW2BT1","Gaskell West 2 BESS",2,NA,NA,NA,NA
"GASKW1_2_GW2SR1","Gaskell West 2a",1,NA,NA,NA,NA
"GASKW1_2_GW3SR1","Gaskell West 3",2,NA,NA,NA,NA
"GASKW1_2_GW4SR1","Gaskell West 4",1,NA,NA,NA,NA
"GASKW1_2_GW5SR1","Gaskell West 5",1,NA,NA,NA,NA
"GATEWY_2_GESBT1","Gateway Energy Storage",2,NA,NA,NA,NA
"GATWAY_2_PL1X3","GATEWAY GENERATING STATION",22,140969,7,0,6.72162921235054
"GENESI_2_STG","Genesis Station",7,NA,NA,NA,NA
"GEYS11_7_UNIT11","GEYSERS UNIT 11 (HEALDSBURG)",3,NA,NA,NA,NA
"GEYS12_7_UNIT12","GEYSERS UNIT 12 (HEALDSBURG)",2,NA,NA,NA,NA
"GEYS13_7_UNIT13","GEYSERS UNIT 13 (HEALDSBURG)",10,NA,NA,NA,NA
"GEYS14_7_UNIT14","GEYSERS UNIT 14 (HEALDSBURG)",2,NA,NA,NA,NA
"GEYS16_7_UNIT16","GEYSERS UNIT 16 (HEALDSBURG)",3,NA,NA,NA,NA
"GEYS17_7_UNIT17","GEYSERS UNIT 17 (HEALDSBURG)",7,NA,NA,NA,NA
"GEYS18_7_UNIT18","GEYSERS UNIT 18 (HEALDSBURG)",5,798391,2,1,1.95833333333333
"GEYS20_7_UNIT20","GEYSERS UNIT 20 (HEALDSBURG)",5,NA,NA,NA,NA
"GILROY_1_UNIT","GILROY COGEN AGGREGATE",1,NA,NA,NA,NA
"GLNARM_2_UNIT 5","Glenarm Turbine 5",1,NA,NA,NA,NA
"GLNARM_7_UNIT 1","GLEN ARM UNIT 1",3,190023,2,1,1.97222222222222
"GLNARM_7_UNIT 2","GLEN ARM UNIT 2",3,NA,NA,NA,NA
"GLNARM_7_UNIT 3","GLEN ARM UNIT 3",5,NA,NA,NA,NA
"GLNARM_7_UNIT 4","GLEN ARM UNIT 4",3,174755,2,0.0094142259414226,1.97988165680473
"GRADYW_5_GDYWD1","Grady Wind",3,NA,NA,NA,NA
"GRNLF1_1_PL1X2","Greenleaf 1",1,NA,NA,NA,NA
"GUERNS_6_SOLAR","Guernsey Solar Station",2,NA,NA,NA,NA
"GYS5X6_7_UNITS","GEYSERS UNITS 5 & 6 AGGREGATE",26,181382,6,0.329798083380605,5.86390702810382
"GYS7X8_7_UNITS","GEYSERS UNITS 7 & 8 AGGREGATE",4,670863,2,1,1.92417873173737
"HAASPH_7_PL1X2","HAAS PH UNIT 1 & 2 AGGREGATE",81,107633,15,0.544154320987654,15
"HAMLIN_1_BLDSB1","Baldy Mesa Hybrid",3,NA,NA,NA,NA
"HATLOS_6_LSCRK","Lost Creek 1 & 2 Hydro Conversion",1,NA,NA,NA,NA
"HATRDG_2_WIND","Hatchet Ridge Wind Farm",1,NA,NA,NA,NA
"HELMPG_7_UNIT 1","HELMS PUMP-GEN UNIT 1",9,NA,NA,NA,NA
"HELMPG_7_UNIT 2","HELMS PUMP-GEN UNIT 2",10,NA,NA,NA,NA
"HELMPG_7_UNIT 3","HELMS PUMP-GEN UNIT 3",11,NA,NA,NA,NA
"HENRTS_1_SOLAR","Henrietta Solar Project",1,NA,NA,NA,NA
"HIDSRT_2_UNITS","HIGH DESERT POWER PROJECT AGGREGATE",39,203842,31,0.00461858910757551,30.5344837603105
"HIGGNS_1_COMBIE","Combie South",3,713354,3,0,3
"HIGHDS_2_H5SBT1","High 5 Solar BESS",1,NA,NA,NA,NA
"HIGHDS_2_H5SSR1","High 5 Solar",8,360176,2,0.00557606669657285,1.93883333333333
"HNTGBH_2_PL1X3","Huntington Beach Energy",3,NA,NA,NA,NA
"HOOVER_2_SCEPT","Hoover DAM - SCE Share",2,158253,2,0.00250909090909102,1.9891565949877
"HUMBPP_1_UNITS3","Humboldt Bay Generating Station 3",95,133308,33,0.0453140302000902,31.6797493713316
"HUMBPP_6_UNITS","Humboldt Bay Generating Station 1",189,NA,NA,NA,NA
"HYTTHM_2_UNITS","HYATT-THERMALITO PUMP-GEN (AGGREGATE)",547,952796,86,0.483379973173303,84.326051700624
"INDIGO_1_UNIT 1","INDIGO PEAKER UNIT 1",1,NA,NA,NA,NA
"INDIGO_1_UNIT 2","INDIGO PEAKER UNIT 2",1,NA,NA,NA,NA
"INDIGO_1_UNIT 3","INDIGO PEAKER UNIT 3",2,NA,NA,NA,NA
"INTKEP_2_UNITS","CCSF Hetch_Hetchy Hydro Aggregate",102,879947,10,0.199492081874654,9.83109668109668
"INTMNT_3_ANAHEIM","Intermountain Power Project",12,107681,2,1,1.91890616425828
"INTMNT_3_PASADENA","Intermountain Power Project",5,NA,NA,NA,NA
"INTMNT_3_RIVERSIDE","IPPDYN",13,195432,5,0.603744873337461,5
"IVANPA_1_UNIT1","Ivanpah 1",3,166139,3,0.000702811244979729,2.93978748524203
"IVANPA_1_UNIT3","Ivanpah 3",2,NA,NA,NA,NA
"IVSLRP_2_SOLAR1","Silver Ridge Mount Signal",5,NA,NA,NA,NA
"IVWEST_2_SOLAR1","Imperial Valley West ( Q # 608)",4,117281,2,0.0121517331589275,1.98571428571429
"JAWBNE_2_NSRWND","North Sky River Wind Project",2,NA,NA,NA,NA
"JOANEC_2_ST3BT3","Santa Ana Storage 3",5,741263,5,0.39047619047619,4.921875
"JOANEC_2_STABT2","Santa Ana Storage 2",28,108602,19,0.0404440178239692,18.6693492063492
"KEARNY_6_NESBT1","Kearny North Energy Storage",2,NA,NA,NA,NA
"KEARNY_6_SESBT2","Kearny South Energy Storage",27,779880,6,0.339057912650368,5.83166666666667
"KELSO_2_UNITS","Mariposa Energy",12,856960,2,0.000852640371872382,1.97328493647913
"KERNRG_1_UNITS","South Belridge Cogen Facility",14,628632,7,0.411788876022562,6.69275
"KERRGN_1_UNIT 1","KERN RIVER HYDRO UNITS 1-4 AGGREGATE",16,124287,5,0.386636870548041,4.89106673673148
"KNGBRD_2_SOLAR1","Kingbird Solar A",1,NA,NA,NA,NA
"KRAMER_1_R1BX3","Resurgence 1 BESS",5,NA,NA,NA,NA
"KRAMER_1_R1PX3","Resurgence 1 PV",25,105576,6,0.670506944444444,6
"LAMONT_1_SOLAR2","Redwood Solar Farm 4",3,NA,NA,NA,NA
"LAMONT_1_SOLAR3","Woodmere Solar Farm",1,NA,NA,NA,NA
"LARKSP_6_UNIT 1","LARKSPUR PEAKER UNIT 1",2,NA,NA,NA,NA
"LARKSP_6_UNIT 2","LARKSPUR PEAKER UNIT 2",2,NA,NA,NA,NA
"LCKHT1_2_LH1SR1","Lockhart Solar 1 PV",169,104756,71,0,69.2526991091396
"LCKHT1_2_LH1SR2","Lockhart Solar 2",2,NA,NA,NA,NA
"LEBECS_2_UNITS","Pastoria Energy Facility",41,NA,NA,NA,NA
"LECEF_1_UNITS","LOS ESTEROS ENERGY FACILITY AGGREGATE",21,475261,4,0.491636926011886,3.89349747474747
"LECONT_2_LESBT1","LeConte Energy Storage",1,NA,NA,NA,NA
"LITLRK_6_GBCSR1","Green Beanworks C",1,NA,NA,NA,NA
"LMBEPK_2_UNITA3","Goose Haven Energy Center, Unit #1",2,116743,2,0,1.9957805907173
"LMEC_1_PL1X3","Los Medanos Energy Center AGGREGATE",53,NA,NA,NA,NA
"LODI25_6_ERKNG1","LODI STRATEGIC RESERVE",3,148758,2,0.0180553254927944,1.97481190709846
"LOWGAP_7_QFUNTS","Matthews Dam Hydro",3,NA,NA,NA,NA
"LTBERA_1_LB1SR1","Little Bear Solar 1",1,NA,NA,NA,NA
"MAGNLA_6_CERRITOS","Magnolia Power Plant Cerritos",8,NA,NA,NA,NA
"MAGNLA_6_COLTON","Magnolia Power Project",3,NA,NA,NA,NA
"MALCHQ_7_UNIT 1","MALACHA HYDRO L.P.",1,NA,NA,NA,NA
"MARVEL_2_MARBX2","Marvel",1,NA,NA,NA,NA
"MCFLND_5_MFSSR1","McFarland Solar A PV",19,135142,2,1,1.94520467836257
"METEC_2_PL1X3","Metcalf Energy Center",11,NA,NA,NA,NA
"MIDWD_2_WIND2","Coram Energy",2,NA,NA,NA,NA
"MIDWYS_2_MIDSL1","Midway Solar Farm",1,NA,NA,NA,NA
