"generator","generator_name","curtailment_date","pmax_mw","curtailment_mw","expected_available_mw","RESOURCEBID_SEQ","daily_max_mw","mw_error","pct_error"
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-08,820,31.6,788.4,166600,799.47,11.0700000000001,0.014041095890411
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-09,820,31.6,788.4,166600,799.47,11.0700000000001,0.014041095890411
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-09,820,29.2,790.8,166600,799.47,8.67000000000007,0.0109635811836116
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-09,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-09,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-10,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-10,820,30.8,789.2,166600,799.47,10.27,0.0130131779016726
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-10,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-11,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-13,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-13,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-14,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-14,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-17,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-17,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-18,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-18,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-20,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-20,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-21,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-21,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-24,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-24,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-25,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-25,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-26,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-27,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-27,820,45,775,166600,799.47,24.47,0.0315741935483871
"BIGCRK_2_EXESWD","BIG CREEK HYDRO PROJECT PSP",2024-04-28,820,15.8,804.2,166600,799.47,-4.73000000000002,-0.00588162148719226
