RESOURCE ID,RESOURCE NAME,total_outage_events,RESOURCEBID_SEQ,n_matches,confidence,score
CAYTNO_2_VASCO,CAYTNO_2_VASCO,2,,,,
CDWR07_2_GEN,CDWR07_2_GEN,1,,,,
CEDRCK_6_UNIT,CEDRCK_6_UNIT,1,,,,
CEDUCR_2_SOLAR1,CEDUCR_2_SOLAR1,1,933839.0,1.0,1.0,1.0
CEDUCR_2_SOLAR2,CEDUCR_2_SOLAR2,1,,,,
CEDUCR_2_SOLAR3,CEDUCR_2_SOLAR3,1,,,,
CEDUCR_2_SOLAR4,CEDUCR_2_SOLAR4,1,,,,
CENT40_1_C40SR1,CENT40_1_C40SR1,5,,,,
CENTER_2_RHONDO,CENTER_2_RHONDO,1,,,,
CENTER_2_SOLAR1,CENTER_2_SOLAR1,1,,,,
CENTER_6_PEAKER,CENTER_6_PEAKER,2,,,,
CENTPD_2_BMSSX2,CENTPD_2_BMSSX2,5,,,,
CENTPD_2_BMSX2,CENTPD_2_BMSX2,9,331013.0,9.0,0.0933333333333335,8.03571428571429
CENTRY_6_PL1X4,CENTRY_6_PL1X4,1,374311.0,1.0,0.0905000000000002,0.966183574879227
CHALK_1_UNIT,CHALK_1_UNIT,3,,,,
CHARMN_2_PGONG1,CHARMN_2_PGONG1,2,,,,
CHESTN_2_CHWBX2,CHESTN_2_CHWBX2,3,387388.0,2.0,0.0082644628099173,1.79259259259259
CHESTN_2_CHWSX2,CHESTN_2_CHWSX2,3,,,,
CHEVCD_6_UNIT,CHEVCD_6_UNIT,1,108072.0,1.0,0.446774193548387,0.539130434782609
CHEVCO_6_UNIT 1,CHEVCO_6_UNIT 1,2,,,,
CHEVCO_6_UNIT 2,CHEVCO_6_UNIT 2,1,156654.0,1.0,0.0,-30.9411764705882
CHEVCY_1_UNIT,CHEVCY_1_UNIT,2,,,,
CHEVMN_2_UNITS,CHEVMN_2_UNITS,2,131943.0,2.0,0.0,1.59750140145752
CHICPK_7_UNIT 1,CHICPK_7_UNIT 1,307,,,,
CHILLS_1_SYCENG,CHILLS_1_SYCENG,2,,,,
CHILLS_7_UNITA1,CHILLS_7_UNITA1,1,650703.0,1.0,0.0,0.888888888888889
CHINO_2_APEBT1,CHINO_2_APEBT1,3,,,,
CHINO_2_PESBT1,CHINO_2_PESBT1,1,262439.0,1.0,0.0666666666666667,0.9
CHINO_6_CIMGEN,CHINO_6_CIMGEN,1,194982.0,1.0,1.0,0.653846153846154
CHWCHL_1_AVSSR1,CHWCHL_1_AVSSR1,2,126447.0,2.0,0.44,0.78125
CHWCHL_1_AVSSR2,CHWCHL_1_AVSSR2,2,818615.0,1.0,0.6,1.0
CHWCHL_1_BIOMAS,CHWCHL_1_BIOMAS,1,,,,
CHWCHL_1_UNIT,CHWCHL_1_UNIT,1,142017.0,1.0,0.470338983050847,0.97119341563786
CLINESCO_3_PVDYN,CLINESCO_3_PVDYN,1,,,,
CLINESCO_3_WBDYN,CLINESCO_3_WBDYN,1,199332.0,1.0,0.106067034365719,0.970557957586988
CLOVER_2_UNIT,CLOVER_2_UNIT,2,179841.0,2.0,0.0,1.97979797979798
CLRMNT_6_CLEBT1,CLRMNT_6_CLEBT1,1,561157.0,1.0,0.0,-2.44444444444444
CMBLND_2_DS2BT1,CMBLND_2_DS2BT1,20,,,,
CMBLND_2_DS2BT2,CMBLND_2_DS2BT2,4,,,,
CMBLND_2_DS2BT3,CMBLND_2_DS2BT3,20,,,,
CMBLND_2_DS2SR1,CMBLND_2_DS2SR1,59,,,,
CMBLND_2_DS2SR2,CMBLND_2_DS2SR2,2,418080.0,2.0,0.0769230769230769,2.0
CMBLND_2_DS2SR3,CMBLND_2_DS2SR3,33,,,,
CNTNLA_2_SOLAR1,CNTNLA_2_SOLAR1,4,,,,
CNTNLA_2_SOLAR2,CNTNLA_2_SOLAR2,6,180457.0,6.0,0.12,5.26315789473684
COCOPP_2_CTG1,COCOPP_2_CTG1,2,524669.0,2.0,0.348557692307692,1.62977473065622
COCOPP_2_CTG2,COCOPP_2_CTG2,2,,,,
COCOPP_2_CTG3,COCOPP_2_CTG3,2,,,,
COCOPP_2_CTG4,COCOPP_2_CTG4,2,977347.0,2.0,0.296947368421053,1.86010083704538
COCOSB_6_SOLAR,COCOSB_6_SOLAR,1,447809.0,1.0,0.0,-64.6666666666667
COGNAT_1_UNIT,COGNAT_1_UNIT,2,,,,
COLEMN_2_UNIT,COLEMN_2_UNIT,1,152702.0,1.0,1.0,0.769230769230769
COLGAT_7_UNIT 1,COLGAT_7_UNIT 1,1,,,,
COLGAT_7_UNIT 2,COLGAT_7_UNIT 2,1,,,,
COLGNS_2_CNSSR1,COLGNS_2_CNSSR1,9,234172.0,9.0,0.531231231231231,8.90374331550802
COLPIN_6_COLLNS,COLPIN_6_COLLNS,1,102551.0,1.0,0.0303030303030305,0.3
COLTON_6_AGUAM1,COLTON_6_AGUAM1,1,328642.0,1.0,0.0499999999999999,0.930232558139535
COLUSA_2_PL1X3,COLUSA_2_PL1X3,2,,,,
COLVIL_7_PL1X2,COLVIL_7_PL1X2,1,201370.0,1.0,0.696184071943612,1.0
CONDOR_2_CDRBT1,CONDOR_2_CDRBT1,6,,,,
CONTRL_1_CASAD1,CONTRL_1_CASAD1,1,,,,
CONTRL_1_CASAD2,CONTRL_1_CASAD2,1,,,,
CONTRL_1_CASAD3,CONTRL_1_CASAD3,1,261146.0,1.0,0.117647058823529,0.971428571428571
CONTRL_1_LUNDY,CONTRL_1_LUNDY,2,991404.0,2.0,0.393939393939394,1.1
CONTRL_1_OXBOW,CONTRL_1_OXBOW,2,,,,
CONTRL_1_POOLE,CONTRL_1_POOLE,12,,,,
CONTRL_1_QF,CONTRL_1_QF,2,,,,
CONTRL_1_RUSHCK,CONTRL_1_RUSHCK,5,691663.0,5.0,0.633683457863113,4.95812395309883
COPMT2_2_SOLAR2,COPMT2_2_SOLAR2,2,,,,
COPMTN_2_CM10,COPMTN_2_CM10,1,163531.0,1.0,0.0,1.0
COPMTN_2_SOLAR1,COPMTN_2_SOLAR1,2,,,,
CORCAN_1_SOLAR1,CORCAN_1_SOLAR1,1,,,,
CORCAN_1_SOLAR2,CORCAN_1_SOLAR2,1,136331.0,1.0,0.13913043478261,0.104545454545455
CORONS_6_CLRWTR,CORONS_6_CLRWTR,2,,,,
CORRAL_6_SJOAQN,CORRAL_6_SJOAQN,2,,,,
COTTLE_2_FRNKNH,COTTLE_2_FRNKNH,1,842570.0,1.0,0.6,0.943396226415094
COVERD_2_HCKHY1,COVERD_2_HCKHY1,1,,,,
COVERD_2_MCKHY1,COVERD_2_MCKHY1,1,705820.0,1.0,1.0,0.357142857142857
COVERD_2_QFUNTS,COVERD_2_QFUNTS,1,103147.0,1.0,0.0,0.927272727272727
COVERD_2_RCKHY1,COVERD_2_RCKHY1,1,,,,
COWCRK_2_UNIT,COWCRK_2_UNIT,1,521760.0,1.0,1.0,-23.0
CPVERD_2_SOLAR,CPVERD_2_SOLAR,8,,,,
CRELMN_6_AABBT1,CRELMN_6_AABBT1,1,186633.0,1.0,0.0888888888888889,0.957446808510638
CRELMN_6_RAMON1,CRELMN_6_RAMON1,1,,,,
CRELMN_6_RAMON2,CRELMN_6_RAMON2,1,,,,
CRELMN_6_RAMSR3,CRELMN_6_RAMSR3,1,,,,
CRESTA_7_PL1X2,CRESTA_7_PL1X2,35,179949.0,35.0,0.626373626373626,12.9261363636364
CRIMSN_2_CRMBT1,CRIMSN_2_CRMBT1,11,164836.0,7.0,0.154154518950437,6.86
CRIMSN_2_CRMBT2,CRIMSN_2_CRMBT2,5,,,,
CRNEVL_6_CRNVA,CRNEVL_6_CRNVA,1,313257.0,1.0,1.0,0.888888888888889
CRNEVL_6_SJQN 2,CRNEVL_6_SJQN 2,1,881550.0,1.0,1.0,0.3125
CROKET_7_UNIT,CROKET_7_UNIT,3,,,,
CRSTWD_6_KUMYAY,CRSTWD_6_KUMYAY,1,113238.0,1.0,0.375,0.8
CRWCKS_1_SOLAR1,CRWCKS_1_SOLAR1,4,,,,
CSCCOG_1_UNIT 1,CSCCOG_1_UNIT 1,2,164427.0,2.0,1.0,2.0
CSCGNR_1_UNIT 1,CSCGNR_1_UNIT 1,1,,,,
CSCGNR_1_UNIT 2,CSCGNR_1_UNIT 2,2,,,,
CSLR4S_2_SOLAR,CSLR4S_2_SOLAR,4,,,,
CSTOGA_6_LNDFIL,CSTOGA_6_LNDFIL,1,,,,
CSTRVL_7_PL1X2,CSTRVL_7_PL1X2,1,352258.0,1.0,0.0,-1.3112582781457
CSTRVL_7_QFUNTS,CSTRVL_7_QFUNTS,1,,,,
CUMBIA_1_SOLAR,CUMBIA_1_SOLAR,2,103700.0,1.0,0.0,-0.210526315789474
CUYAMA_6_SB3SB1,CUYAMA_6_SB3SB1,1,,,,
CUYAMS_6_CUYSR1,CUYAMS_6_CUYSR1,7,685873.0,5.0,0.3875,5.0
DAIRLD_1_CR1BM1,DAIRLD_1_CR1BM1,16,,,,
DEADCK_1_UNIT,DEADCK_1_UNIT,1,193888.0,1.0,1.0,-0.933673469387755
DEERCR_6_UNIT 1,DEERCR_6_UNIT 1,1,,,,
DELAMO_2_ALASB2,DELAMO_2_ALASB2,1,,,,
DELSUR_6_HORSR1,DELSUR_6_HORSR1,1,,,,
DELSUR_6_SOLAR1,DELSUR_6_SOLAR1,1,735117.0,1.0,1.0,0.615384615384615
DELTA_2_PL1X4,DELTA_2_PL1X4,2,,,,
DEVERS_1_SOLAR,DEVERS_1_SOLAR,1,254645.0,1.0,0.944444444444444,0.972972972972973
DEVERS_1_SOLAR1,DEVERS_1_SOLAR1,1,186631.0,1.0,0.0476190476190476,0.875
DEVERS_1_SOLAR2,DEVERS_1_SOLAR2,3,155548.0,3.0,0.424657534246576,0.243333333333333
DEVERS_2_DHSPG2,DEVERS_2_DHSPG2,1,423784.0,1.0,1.0,-69.4285714285714
DEXZEL_1_UNIT,DEXZEL_1_UNIT,1,185773.0,1.0,0.25,1.0
DISCOV_1_CHEVRN,DISCOV_1_CHEVRN,1,623125.0,1.0,0.105042016806723,0.975409836065574
DIXNLD_1_LNDFL,DIXNLD_1_LNDFL,1,,,,
DONNLS_7_UNIT,DONNLS_7_UNIT,5,,,,
DOSMGO_2_NSPIN,DOSMGO_2_NSPIN,4,,,,
DOSPAL_1_DPSSR1,DOSPAL_1_DPSSR1,1,622149.0,1.0,1.0,-123.0
DOUBLC_1_UNITS,DOUBLC_1_UNITS,4,,,,
DRACKR_2_D4SR4B,DRACKR_2_D4SR4B,2,420763.0,2.0,0.25,1.28
DRACKR_2_DS3SR3,DRACKR_2_DS3SR3,2,950113.0,2.0,0.4,0.8
DRACKR_2_DS4SR4,DRACKR_2_DS4SR4,2,,,,
DRACKR_2_DSUBT1,DRACKR_2_DSUBT1,2,,,,
DRACKR_2_DSUBT2,DRACKR_2_DSUBT2,2,,,,
