"generator","generator_name","RESOURCEBID_SEQ","n_matches","pmax_mw","max_mw","mean_pct_err","score","confidence"
"GARNET_2_WIND5","Eastwind",127538,2,3,3,0.0238095238095237,1.95238095238095,0.00243902439024402
"ROSMDW_2_WIND1","Pacific Wind - Phase 1",780584,3,140,130,0.0207224230435953,2.93783273086921,0.0024124916391387
"RVRVEW_1_UNITA1","Riverview Energy Center (GP Antioch)",376200,2,48.7,47.6,0,2,0.00210084033613445
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",591854,2,26,26.65,0.0107692307692308,1.97846153846154,0.00155520995334368
"VALTNE_2_TBBBT1","Tropico Solar Big Beau",594888,18,58,52.3,0.0129895104895105,17.7661888111888,0.00131663626004452
"KELSO_2_UNITS","Mariposa Energy",856960,2,198.03,180,0.0133575317604356,1.97328493647913,0.000852640371872382
"IVANPA_1_UNIT1","Ivanpah 1",166139,3,126,120,0.0200708382526564,2.93978748524203,0.000702811244979729
"RTEDDY_2_SOLAR1","Rosamond West Solar 1",114138,3,54,49,0.0192477876106194,2.94225663716814,0.0006767426122265
"OTMESA_2_PL1X3","OTAY MESA ENERGY CENTER",304325,6,603.68,585,0.00486347743983249,5.970819135361,0.000580939593054497
"CALFTN_2_SOLAR","California Flats North",195275,4,130,127.6,0.0213315217391305,3.91467391304348,0.000416493127863404
"YELPIN_2_YP2BT1","Yellow Pine 2 BESS",655017,4,65,60,0.0199058810916847,3.92037647563326,0.000301320848801856
"SYCAMR_2_UNIT 1","Sycamore Cogeneration Unit 1",182568,2,78,73,0.00675675675675676,1.98648648648649,9.31879601155927e-05
"LCKHT1_2_LH1SR1","Lockhart Solar 1 PV",104756,71,85,63,0.0246098717022598,69.2526991091396,0
"TOPAZ_2_SOLAR","Topaz Solar Farms",111727,9,550,510,0.0150876207040759,8.86421141366332,0
"GATWAY_2_PL1X3","GATEWAY GENERATING STATION",140969,7,585,555,0.0397672553784949,6.72162921235054,0
"CLRMNT_6_CLEBT1","Clairemont Energy Storage",143302,6,9,9.5,0.0444444444444445,5.73333333333333,0
"CARLS1_2_CARCT1","Carlsbad 1",160605,4,422,407,0.001230012300123,3.99507995079951,0
"DEADCK_1_UNIT","DEADCK_1_UNIT",148199,4,1.96,1.89,0.0273972602739726,3.89041095890411,0
"ALHMBR_1_ALHSLR","SG Alhambra",158082,3,50,49,0,3,0
"HIGGNS_1_COMBIE","Combie South",713354,3,1.5,1.62,0,3,0
"WOLFSK_1_UNITA1","Wolfskill Energy Center",111621,3,48.68,47,0.00142146410803129,2.99573560767591,0
"ETIWND_6_GRPLND","Grapeland Peaker",156192,3,45.64,45.3,0.00413275920988808,2.98760172237034,0
"DELAMO_2_ALASB2","Los Alamitos 2",643213,2,10,9.5,0,2,0
"LMBEPK_2_UNITA3","Goose Haven Energy Center, Unit #1",116743,2,47.75,47.3,0.00210970464135024,1.9957805907173,0
